#Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
639	919.110	-4.882	918.942
640	919.140	-5.563	918.970
641	919.170	-6.013	919.001
642	919.200	-6.229	919.028
643	919.230	-6.384	919.061
644	919.260	-6.666	919.091
645	919.290	-6.858	919.120
646	919.320	-7.004	919.151
647	919.350	-7.228	919.179
648	919.380	-7.536	919.214
649	919.410	-7.759	919.235
650	919.440	-7.876	919.270
651	919.470	-7.718	919.299
652	919.500	-7.699	919.331
653	919.530	-7.609	919.363
654	919.560	-7.610	919.394
655	919.590	-7.600	919.417
656	919.620	-7.678	919.451
657	919.650	-7.622	919.482
658	919.680	-7.582	919.515
659	919.710	-7.377	919.537
660	919.740	-7.072	919.571
661	919.770	-6.805	919.602
662	919.800	-6.461	919.633
663	919.830	-6.177	919.661
664	919.860	-6.004	919.690
665	919.890	-5.784	919.721
666	919.920	-5.434	919.753
667	919.950	-4.888	919.780
668	919.980	-4.257	919.814
669	920.010	-3.603	919.842
670	920.040	-3.083	919.871
671	920.070	-2.587	919.902
672	920.100	-2.268	919.930
673	920.130	-1.815	919.963
674	920.160	-1.451	919.992
675	920.190	-0.781	920.019
676	920.220	0.061	920.048
677	920.250	1.004	920.083
678	920.280	1.822	920.113
679	920.310	2.357	920.140
680	920.340	2.756	920.174
681	920.370	3.035	920.201
682	920.400	3.519	920.230
683	920.430	4.145	920.261
684	920.460	4.760	920.292
685	920.490	5.368	920.324
686	920.520	5.965	920.351
687	920.550	6.213	920.382
688	920.580	6.380	920.411
689	920.610	6.481	920.440
690	920.640	6.778	920.468
691	920.670	7.088	920.500
692	920.700	7.395	920.530
693	920.730	7.664	920.562
694	920.760	7.935	920.590
695	920.790	8.115	920.619
696	920.820	7.961	920.651
697	920.850	7.819	920.682
698	920.880	7.739	920.711
699	920.910	7.845	920.745
700	920.940	7.946	920.770
701	920.970	8.097	920.801
702	921.000	8.235	920.834
703	921.030	8.454	920.862
704	921.060	8.384	920.889
705	921.090	8.228	920.921
