#Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
711	921.270	-0.809	921.102
712	921.300	-0.427	921.131
713	921.330	0.090	921.163
714	921.360	0.730	921.192
715	921.390	1.337	921.222
716	921.420	2.048	921.250
717	921.450	2.586	921.278
718	921.480	2.877	921.311
719	921.510	3.277	921.342
720	921.540	3.732	921.369
721	921.570	4.465	921.400
722	921.600	5.228	921.432
723	921.630	5.882	921.459
724	921.660	6.465	921.488
725	921.690	6.859	921.520
726	921.720	7.071	921.552
727	921.750	7.154	921.581
728	921.780	7.232	921.612
729	921.810	7.342	921.642
730	921.840	7.450	921.673
731	921.870	7.589	921.702
732	921.900	7.743	921.731
733	921.930	7.596	921.760
734	921.960	7.397	921.791
735	921.990	7.137	921.822
736	922.020	6.923	921.848
737	922.050	6.770	921.877
738	922.080	6.671	921.911
739	922.110	6.415	921.938
740	922.140	5.953	921.968
741	922.170	5.389	922.002
742	922.200	4.769	922.031
743	922.230	4.215	922.062
744	922.260	3.697	922.090
745	922.290	3.422	922.122
746	922.320	3.250	922.154
747	922.350	3.125	922.179
748	922.380	2.966	922.214
749	922.410	2.747	922.241
750	922.440	2.411	922.267
751	922.470	1.960	922.300
752	922.500	1.669	922.331
753	922.530	1.291	922.360
754	922.560	1.004	922.391
755	922.590	0.668	922.420
756	922.620	0.151	922.454
757	922.650	-0.531	922.481
758	922.680	-1.201	922.510
759	922.710	-1.767	922.543
760	922.740	-2.203	922.569
761	922.770	-2.427	922.600
762	922.800	-2.430	922.630
763	922.830	-2.448	922.664
764	922.860	-2.566	922.691
765	922.890	-2.798	922.717
766	922.920	-3.221	922.749
767	922.950	-3.562	922.782
768	922.980	-3.874	922.812
769	923.010	-4.326	922.844
770	923.040	-4.851	922.869
771	923.070	-5.466	922.900
772	923.100	-6.069	922.929
773	923.130	-6.715	922.962
774	923.160	-7.235	922.987
775	923.190	-7.745	923.025
776	923.220	-8.053	923.048
777	923.250	-8.095	923.082
778	923.280	-7.957	923.109
779	923.310	-7.731	923.146
780	923.340	-7.517	923.172
781	923.370	-7.334	923.201
782	923.400	-7.146	923.232
783	923.430	-6.984	923.262
784	923.460	-6.726	923.288
785	923.490	-6.440	923.319
786	923.520	-6.184	923.354
787	923.550	-5.919	923.378
788	923.580	-5.726	923.410
789	923.610	-5.490	923.443
